Id,SalePrice
1461,55873.07338740364
1462,74809.47251514222
1463,138961.1984300065
1464,150642.1322573331
1465,152477.38982679177
1466,156114.43791994452
1467,123082.19595406865
1468,149144.1774857957
1469,143771.23335883877
1470,59865.81809989031
1471,123768.33999550153
1472,58430.24547620886
1473,56524.69299579623
1474,72001.11006537563
1475,58491.86961164932
1476,197954.84994277684
1477,163974.02403780405
1478,169835.86088252818
1479,161782.06111635081
1480,266001.4460910858
1481,189806.63686000934
1482,158535.16636222354
1483,146704.24190571927
1484,111628.30231646192
1485,147117.46550395223
1486,158548.9026027748
1487,174492.83351395378
1488,163773.05930999003
1489,141865.5452773793
1490,156311.61786654452
1491,149366.78578417143
1492,54547.78472654281
1493,113298.48208964185
1494,178670.82444474124
1495,170459.22694435273
1496,135440.03173505698
1497,135377.54886413593
1498,104685.65840301797
1499,102946.19754596963
1500,110116.1139541099
1501,135144.82816256158
1502,95770.87042425468
1503,166475.0866791462
1504,178026.1022383846
1505,160261.47563467934
1506,123946.85029930773
1507,159573.75714097632
1508,157239.91884671734
1509,92847.59672386534
1510,73722.1400628298
1511,80745.83113184402
1512,110757.32730119344
1513,87382.73513901004
1514,68059.81335737351
1515,104626.2653188546
1516,89176.93169523933
1517,77083.87456979524
1518,63990.42082068995
1519,140695.26969711817
1520,61433.9883681427
1521,63600.88485820756
1522,102845.77846168724
1523,56898.88288364549
1524,57850.3300329025
1525,55700.583012246265
1526,57968.809779660754
1527,61328.28793492555
1528,57929.225837980615
1529,71664.8957888513
1530,111437.33829748617
1531,66734.61238079586
1532,56550.03441391843
1533,72287.96377263093
1534,63316.62357562283
1535,68904.81136967539
1536,57379.776890478446
1537,47598.7291732071
1538,85038.3088195902
1539,109408.94856317097
1540,55942.827239224454
1541,70519.58195839322
1542,62181.084586043304
1543,109813.34965824866
1544,53519.06746297509
1545,55622.69358045501
1546,69332.49690257234
1547,72804.63406312047
1548,63859.33555395924
1549,62855.532464745105
1550,70737.61946503998
1551,62476.91830523417
1552,74011.8198917252
1553,81138.49652843198
1554,60185.33631313518
1555,108804.07528595948
1556,63042.04493395552
1557,61465.80212754428
1558,56391.61967284529
1559,55437.32183123283
1560,72460.9630795483
1561,71071.76918493398
1562,58915.9170866365
1563,59563.08744946231
1564,93977.52419015158
1565,80469.19786731739
1566,151418.61577229592
1567,55412.32850823681
1568,160243.12921035857
1569,76310.29168104455
1570,69678.4934052504
1571,66378.27568536054
1572,61589.893209894915
1573,149750.32620647308
1574,70924.5853778209
1575,159259.43613153114
1576,168614.9479300952
1577,152598.68556936545
1578,87894.74219126292
1579,76044.25803071744
1580,154379.57643053157
1581,72653.98737957393
1582,59779.1971000589
1583,173048.44381399598
1584,159794.61383609494
1585,67988.53683726076
1586,49259.44579450942
1587,56731.49974968546
1588,69827.8984031656
1589,55703.69562885125
1590,63487.9383359474
1591,51560.42606814763
1592,69982.21772924965
1593,68129.49059368191
1594,75305.21290243744
1595,68233.62205502117
1596,134897.91868841846
1597,90502.97307439486
1598,149555.16103623708
1599,99279.55138781323
1600,115873.99579661948
1601,46432.18802553315
1602,57416.759730479534
1603,48170.47265838517
1604,162106.73409984785
1605,171763.49381223923
1606,113913.1859966722
1607,93189.32950699732
1608,173792.87541551833
1609,146820.43598700198
1610,125200.34826239393
1611,77250.41058446778
1612,118748.30944601954
1613,119048.73009746267
1614,71684.455066079
1615,56981.499044453725
1616,52644.274864053914
1617,54525.65644013346
1618,62368.94021376975
1619,70739.31093333453
1620,117762.09761889224
1621,74197.0799313797
1622,78662.18224415672
1623,174406.3612775072
1624,157508.78595668206
1625,60481.96889312672
1626,112189.52726352289
1627,153061.00763064495
1628,182233.2442440245
1629,157535.26357162095
1630,194121.71556423456
1631,158708.18905376416
1632,161608.86709572817
1633,148776.14743040278
1634,164478.3290560065
1635,161156.95902640873
1636,120759.04273511952
1637,141150.61750286096
1638,137558.38831916658
1639,142498.6001091638
1640,169452.00841730906
1641,139142.49034736853
1642,158993.64309899538
1643,160981.28459685482
1644,171113.2544956546
1645,154022.05749161652
1646,91176.49891763373
1647,109382.47339025103
1648,71362.76584192191
1649,67447.14091875975
1650,57537.96532285628
1651,57517.14919763964
1652,58511.3792258911
1653,59579.38750582343
1654,74698.85978914189
1655,76593.09069501623
1656,71771.11458307097
1657,72619.08074122429
1658,78882.1068101918
1659,59120.11690102279
1660,76869.00271026575
1661,239832.388153448
1662,191588.87829744152
1663,179596.42595690416
1664,296626.2716276031
